id,name,album_id,popularity,url,track_number,valence
3Hqw7592X7H3pNh2PKZUBA,The Ground Beneath Her Feet,7a5U0GPoAvT3gvEY66FRuN,40,,12,0.266
3IrhUrZKAkJ8LsFtH71fOT,Discotheque,5mojJwWgWNJcY3odUGgQc3,45,,1,0.663
07GmMxHsUMR3qFOCLmYuzN,Do You Feel Loved,5mojJwWgWNJcY3odUGgQc3,38,,2,0.567
6CFk4rAzGaRzoVtjEhcAl9,Mofo,5mojJwWgWNJcY3odUGgQc3,37,,3,0.579
3VefJ4Kkzy8zeOFK8omiOd,If God Will Send His Angels,5mojJwWgWNJcY3odUGgQc3,41,,4,0.533
3fsTb3a8l5kJrtzpl04Ljr,Staring At The Sun,5mojJwWgWNJcY3odUGgQc3,58,,5,0.515
19Sbxm5YTEFwpCYMxrw1gz,Last Night On Earth,5mojJwWgWNJcY3odUGgQc3,36,,6,0.52
5Ix7eNDeGdS2y2n3OSTCr5,Gone,5mojJwWgWNJcY3odUGgQc3,38,,7,0.45
5t3VvTrmnlxypdtAacg9Gh,Miami,5mojJwWgWNJcY3odUGgQc3,33,,8,0.757
2UMiwpFmpG3bI1dj55Il2n,The Playboy Mansion,5mojJwWgWNJcY3odUGgQc3,33,,9,0.592
1khfmZTlbEsCi0VXylEJSQ,If You Wear That Velvet Dress,5mojJwWgWNJcY3odUGgQc3,35,,10,0.324
7DwqzWCSdLEYvzqU30Pd4L,Please,5mojJwWgWNJcY3odUGgQc3,39,,11,0.418
0P5hXzcV0CDrH0E73M4zbO,Wake Up Dead Man,5mojJwWgWNJcY3odUGgQc3,36,,12,0.445
0mGtbkb9zSSxZo1h3qXIDZ,Zooropa,0IYjMBLA9PgtXyRPlLmTDE,43,,1,0.238
0eF801IbnGoiHMlGjaLlZ0,Babyface,0IYjMBLA9PgtXyRPlLmTDE,40,,2,0.504
14QtCWJaRgMj6dkUs6dkcT,Numb,0IYjMBLA9PgtXyRPlLmTDE,47,,3,0.108
3GtaFJ4Zx7TEBU8yUXtdOx,Lemon,0IYjMBLA9PgtXyRPlLmTDE,48,,4,0.328
1E1ylgIWTW2yE0glywYLb6,"Stay (Faraway, So Close!)",0IYjMBLA9PgtXyRPlLmTDE,60,,5,0.719
30RNZ0XyL8KjFCI7xEv6Un,Daddy's Gonna Pay For Your Crashed Car,0IYjMBLA9PgtXyRPlLmTDE,37,,6,0.734
5Fzrkvc7Tc3tbFLxQijw0n,Some Days Are Better Than Others,0IYjMBLA9PgtXyRPlLmTDE,37,,7,0.625
1T6Gh6QOePgmdxpDF1DFx6,The First Time,0IYjMBLA9PgtXyRPlLmTDE,38,,8,0.119
6BqGXgeAhPwezKxCr6vnyC,Dirty Day,0IYjMBLA9PgtXyRPlLmTDE,37,,9,0.578
